method,run_id,sample_id,qa_index,category,memory_update_mode,memory_wrapper_store,judge_mode,judge_runs,question,ground_truth,predicted_answer,exact_match,f1,bleu1,judge_score,judge_reason,judge_scores,judge_labels,judge_cache_key,search_latency_sec,generation_latency_sec,total_latency_sec,prompt_tokens,completion_tokens,total_tokens,num_retrieved_memories,num_speaker_1_memories,num_speaker_2_memories,top_k_per_speaker,max_total_retrieved_memories,retrieval_token_budget,retrieval_budget_strategy,retrieval_token_budget_applied,speaker_1_memory_tokens,speaker_2_memory_tokens,retrieved_memory_tokens,speaker_1_memory_tokens_pre_trim,speaker_2_memory_tokens_pre_trim,retrieved_memory_tokens_pre_trim,num_retrieved_memories_pre_trim,num_retrieved_memories_dropped_by_budget,top1_memory_score
rag_chunk600_k1,20260627_170855,conv-26,1,2,none,none,paper_binary,5,When did Caroline go to the LGBTQ support group?,7 May 2023,No information available.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",27a93326e19a96c131520336a958891b3af52cfb9aa872c11c10308602c75143,0.2942323684692383,1.2884483337402344,1.5826807022094727,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.539140522480011
rag_chunk600_k1,20260627_170855,conv-26,2,2,none,none,paper_binary,5,When did Melanie paint a sunrise?,2022,No information available.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",d7b9e1eb63ef8fdb3359db38d1dcd32b636c52175effeb6ea60b6cb22492c65b,0.42742085456848145,1.634967565536499,2.0623884201049805,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.48862066864967346
rag_chunk600_k1,20260627_170855,conv-26,3,3,none,none,paper_binary,5,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling or mental health.,0.0,0.28571428571428575,0.25,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",a9c65bde4f0b74bd3a5fba39520866c4a2ba29849d4fb90a10cfd0e5d6caf7fb,0.29242491722106934,1.150557041168213,1.4429819583892822,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.40226373076438904
rag_chunk600_k1,20260627_170855,conv-26,4,1,none,none,paper_binary,5,What did Caroline research?,Adoption agencies,No information available.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",fc84be240e42061ff1972cdfccdc4defed99cde35eaa6163407c269f2bbab1ce,0.4095876216888428,1.4802155494689941,1.889803171157837,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.3984786570072174
rag_chunk600_k1,20260627_170855,conv-26,5,1,none,none,paper_binary,5,What is Caroline's identity?,Transgender woman,Transgender.,0.0,0.6666666666666666,0.36787944117144233,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",46fe56d4148c7ea38c555ec69d088b8a8eb2df0869ef90abbe01eb2f8cfcbe8d,0.28582334518432617,1.4947917461395264,1.7806150913238525,0,0,0,1,1,0,,1,,global_chunk_cosine,,462,0,462,462,0,462,1,,0.42103898525238037
rag_chunk600_k1,20260627_170855,conv-26,6,2,none,none,paper_binary,5,When did Melanie run a charity race?,The sunday before 25 May 2023,No information available.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",4e87a9c7121d2a6ed76bad43a616f5f558c8d842839da2d290d6ab64f7311b1f,0.2684657573699951,1.359900951385498,1.6283667087554932,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.3981876075267792
rag_chunk600_k1,20260627_170855,conv-26,7,2,none,none,paper_binary,5,When is Melanie planning on going camping?,June 2023,No information available.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",0307e979463aeaa83c5f9909270788cba92e512d0e7d8010aeacfa36485d96e3,0.42236876487731934,1.7369377613067627,2.159306526184082,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.46009740233421326
rag_chunk600_k1,20260627_170855,conv-26,8,1,none,none,paper_binary,5,What is Caroline's relationship status?,Single,No information available.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",b92d4ade289510f5dc8f7e097131008b6a0a84cf7bd443897693d5f2e9afb679,0.3179442882537842,2.255878210067749,2.573822498321533,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.409504771232605
rag_chunk600_k1,20260627_170855,conv-26,9,2,none,none,paper_binary,5,When did Caroline give a speech at a school?,The week before 9 June 2023,No information available.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",3553b0e17f806768227a3b712fa4de9f653eeb97009055ce61fefe77b75e10fe,0.32981348037719727,3.0145058631896973,3.3443193435668945,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.4708723723888397
rag_chunk600_k1,20260627_170855,conv-26,10,2,none,none,paper_binary,5,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,15-16 July 2023,0.0,0.25,0.17113903967753066,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",3481674c729d1b5636bf34a706637f2665c698ddb6ee76acb08c263d2d25cb9f,0.2767667770385742,4.129312515258789,4.406079292297363,0,0,0,1,1,0,,1,,global_chunk_cosine,,600,0,600,600,0,600,1,,0.5230779051780701
