method,run_id,sample_id,qa_index,category,memory_update_mode,memory_wrapper_store,judge_mode,judge_runs,question,ground_truth,predicted_answer,exact_match,f1,bleu1,judge_score,judge_reason,judge_scores,judge_labels,judge_cache_key,search_latency_sec,generation_latency_sec,total_latency_sec,prompt_tokens,completion_tokens,total_tokens,num_retrieved_memories,num_speaker_1_memories,num_speaker_2_memories,top_k_per_speaker,max_total_retrieved_memories,retrieval_token_budget,retrieval_budget_strategy,retrieval_token_budget_applied,speaker_1_memory_tokens,speaker_2_memory_tokens,retrieved_memory_tokens,speaker_1_memory_tokens_pre_trim,speaker_2_memory_tokens_pre_trim,retrieved_memory_tokens_pre_trim,num_retrieved_memories_pre_trim,num_retrieved_memories_dropped_by_budget,top1_memory_score
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,1,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When did Caroline go to the LGBTQ support group?,7 May 2023,2023-05-07,0.0,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",17a60e93c9deac24845ea50a932a181e27f945cd6552c484b5c167e18b9424b6,2.4034645557403564,2.528168201446533,4.93163275718689,3921,178,4099,26,26,0,,14,,interleave_rank,False,3798,0,3798,3798,0,3798,26,0,0.6901717185974121
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,2,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When did Melanie paint a sunrise?,2022,last year,0.0,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",806a6734f2b70701c5be15859c68e40a70df7c6879b7445478be2992f078fed6,3.5862390995025635,1.6604158878326416,5.246654987335205,2370,103,2473,19,19,0,,14,,interleave_rank,False,2269,0,2269,2269,0,2269,19,0,0.6508979201316833
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,3,3,amem_robust_evolution,amem_simple_embedding,paper_binary,5,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",counseling or working in mental health,0.0,0.2222222222222222,0.16666666666666666,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",eb905622db3ad7ecbebecb35323095739e6f30a907d9b357cb184ab8b837b7e7,3.8818955421447754,1.5047175884246826,5.386613130569458,3164,62,3226,28,28,0,,14,,interleave_rank,False,3036,0,3036,3036,0,3036,28,0,0.25376084446907043
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,4,1,amem_robust_evolution,amem_simple_embedding,paper_binary,5,What did Caroline research?,Adoption agencies,adoption agencies,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",c396e12b23c21afcaf613c90520700edc342fbb0f3a391dd6eb14e2ebc1b39c0,2.5871474742889404,2.498002529144287,5.0851500034332275,3831,188,4019,33,33,0,,14,,interleave_rank,False,3709,0,3709,3709,0,3709,33,0,0.41047096252441406
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,5,1,amem_robust_evolution,amem_simple_embedding,paper_binary,5,What is Caroline's identity?,Transgender woman,trans,0.0,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",76f3c8e461ccd7abb7dfe573b5068163e2c3652586ba3fd8f30c01f769ff7468,2.162925958633423,3.43613862991333,5.599064588546753,3780,246,4026,27,27,0,,14,,interleave_rank,False,3691,0,3691,3691,0,3691,27,0,0.5125769376754761
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,6,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When did Melanie run a charity race?,The sunday before 25 May 2023,"May 20, 2023",0.0,0.5,0.3422780793550613,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",8845bbdcc1f645c5d9b47ac7f5d62f008ee77372e71c6f329f93bee78006f9f3,2.245856523513794,4.254039525985718,6.499896049499512,3421,323,3744,27,27,0,,14,,interleave_rank,False,3301,0,3301,3301,0,3301,27,0,0.6033578515052795
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,7,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When is Melanie planning on going camping?,June 2023,next month,0.0,0.0,0.0,0.4,,"[0.0, 1.0, 0.0, 1.0, 0.0]","['WRONG', 'CORRECT', 'WRONG', 'CORRECT', 'WRONG']",debbd17168ab853cbafc24944a0944e59f61ef017e2b0d117454546df2430a2d,2.253187894821167,2.2815895080566406,4.534777402877808,2924,177,3101,22,22,0,,14,,interleave_rank,False,2829,0,2829,2829,0,2829,22,0,0.6351000070571899
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,8,1,amem_robust_evolution,amem_simple_embedding,paper_binary,5,What is Caroline's relationship status?,Single,No information provided.,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",9ec3a55c0df2c869c0a1df75084fe94733e3c853747ecab63cb734d810c672b3,2.4642817974090576,1.939868688583374,4.404150485992432,3816,90,3906,32,32,0,,14,,interleave_rank,False,3697,0,3697,3697,0,3697,32,0,0.46655529737472534
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,9,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When did Caroline give a speech at a school?,The week before 9 June 2023,"approximately June 2, 2023",0.0,0.4444444444444445,0.38940039153570244,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",296dd20edd18f4cbf5e5f39aae75fc42f47b02e2e0868f8b6e99e0abe65c33ca,2.470062494277954,4.572854280471802,7.042916774749756,3119,439,3558,28,28,0,,14,,interleave_rank,False,2984,0,2984,2984,0,2984,28,0,0.47830718755722046
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,10,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,last week (around 2023-06-02),0.0,0.22222222222222224,0.19470019576785122,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",c0ae5947763a622857fbccae4488c89a46119355d0379e20a8b590e3c24236fd,2.2076539993286133,2.401031494140625,4.608685493469238,5184,169,5353,41,41,0,,14,,interleave_rank,False,5032,0,5032,5032,0,5032,41,0,0.5802431106567383
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,11,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,How long has Caroline had her current group of friends for?,4 years,4 years,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",f6c11fdee3c6dd18b32c5aca8ac27d7f1722cb93b1f3f2a1826c4a369783840d,2.2725985050201416,1.3602962493896484,3.63289475440979,4501,49,4550,35,35,0,,14,,interleave_rank,False,4348,0,4348,4348,0,4348,35,0,0.4789661765098572
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,12,1,amem_robust_evolution,amem_simple_embedding,paper_binary,5,Where did Caroline move from 4 years ago?,Sweden,from my home country,0.0,0.0,0.0,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",25a8b4959b9a44ba8075f7d4232a70ca96de540732b6d2d24aa0edc6f497f6d7,3.0694501399993896,3.66386079788208,6.73331093788147,3728,325,4053,31,31,0,,14,,interleave_rank,False,3611,0,3611,3611,0,3611,31,0,0.4370878338813782
amem_global_linked_top14_openaiemb,20260627_233217,conv-26,13,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,How long ago was Caroline's 18th birthday?,10 years ago,ten years ago,0.0,0.6666666666666666,0.6666666666666666,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",dd929e7fc5443076e3db2188f7efeb370fdc677aa00e4cd1ad2ae2ada8b9e628,2.7989697456359863,2.5904862880706787,5.389456033706665,3662,204,3866,29,29,0,,14,,interleave_rank,False,3525,0,3525,3525,0,3525,29,0,0.36909860372543335
