method,run_id,sample_id,qa_index,category,memory_update_mode,memory_wrapper_store,judge_mode,judge_runs,question,ground_truth,predicted_answer,exact_match,f1,bleu1,judge_score,judge_reason,judge_scores,judge_labels,judge_cache_key,search_latency_sec,generation_latency_sec,total_latency_sec,prompt_tokens,completion_tokens,total_tokens,num_retrieved_memories,num_speaker_1_memories,num_speaker_2_memories,top_k_per_speaker,max_total_retrieved_memories,retrieval_token_budget,retrieval_budget_strategy,retrieval_token_budget_applied,speaker_1_memory_tokens,speaker_2_memory_tokens,retrieved_memory_tokens,speaker_1_memory_tokens_pre_trim,speaker_2_memory_tokens_pre_trim,retrieved_memory_tokens_pre_trim,num_retrieved_memories_pre_trim,num_retrieved_memories_dropped_by_budget,top1_memory_score
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,1,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,Which year did Audrey adopt the first three of her dogs?,2020,2020,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",a314628e4fdb72c0113503c2d65deba565df733a2f3052d8014ca4ebfe074b2e,3.7112045288085938,1.384889841079712,5.096094369888306,4322,45,4367,32,32,0,,14,,interleave_rank,False,4188,0,4188,4188,0,4188,32,0,0.5906459093093872
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,2,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When did Andrew start his new job as a financial analyst?,"The week before March 27, 2023",March 2023,0.0,0.5714285714285715,0.22313016014842982,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",c4dffb288eec3e107d68125561288c099c756180803acc5261a782f83852a0a2,2.383143663406372,3.085660934448242,5.468804597854614,4148,259,4407,37,37,0,,14,,interleave_rank,False,3973,0,3973,3973,0,3973,37,0,0.6032301187515259
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,3,1,amem_robust_evolution,amem_simple_embedding,paper_binary,5,What kind of indoor activities has Andrew pursued with his girlfriend?,"boardgames, volunteering at pet shelter, wine tasting, growing flowers",playing board games,0.0,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",7344dea743587a5b8806a63b9435db728609596f1f7ef8816955df4dd437436c,2.993004560470581,1.716141939163208,4.709146499633789,4652,108,4760,34,34,0,,14,,interleave_rank,False,4498,0,4498,4498,0,4498,34,0,0.5596967935562134
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,4,1,amem_robust_evolution,amem_simple_embedding,paper_binary,5,What kind of places have Andrew and his girlfriend checked out around the city?,"cafes, new places to eat, open space for hikes, pet shelter, wine tasting event, park",new cafe scene,0.0,0.1111111111111111,0.006105212962911393,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",d3174f0cca4831194181affeb248287b4cc2946dbad35a55e3eca28f8ab5ec51,3.2549824714660645,5.665371894836426,8.92035436630249,4189,542,4731,33,33,0,,14,,interleave_rank,False,4036,0,4036,4036,0,4036,33,0,0.5601823925971985
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,5,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When did Audrey make muffins for herself?,The week of April 3rd to 9th,April 2023,0.0,0.25,0.06766764161830635,0.8,,"[1.0, 1.0, 1.0, 1.0, 0.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'WRONG']",aa6282046f8d6212e494138ce4c9a9e3e119ee1799856d33ca99b2a5ebd250fb,3.222385883331299,5.916012763977051,9.13839864730835,4155,566,4721,34,34,0,,14,,interleave_rank,False,4026,0,4026,4026,0,4026,34,0,0.6149483919143677
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,6,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When did Audrey see a hummingbird?,first week of May 2023,late April 2023,0.0,0.25,0.17113903967753066,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",281c34c2dd8caedfc7cc729168b3ea89d01556628140f8722284fc74ce76af07,4.659661531448364,3.413614273071289,8.073275804519653,3253,245,3498,28,28,0,,14,,interleave_rank,False,3132,0,3132,3132,0,3132,28,0,0.603830099105835
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,7,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,When did Audrey adopt Pixie?,"around April 2, 2023",early April 2023,0.0,0.5714285714285715,0.47768754038252614,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",a39ebb692af6a2f3ccd97be6bbacd5af8017dbfdeda7ef7db3e4ad3365b7ba86,2.7085883617401123,1.958355188369751,4.666943550109863,3613,89,3702,28,28,0,,14,,interleave_rank,False,3490,0,3490,3490,0,3490,28,0,0.6146870851516724
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,8,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,How many years passed between Audrey adopting Pixie and her other three dogs?,three years,3 years,0.0,0.5,0.5,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",c588b5687c9bb19d1c186929bde48d61146e23d0ec80dd1dddc3778519a5c6e7,2.737591028213501,2.772775650024414,5.510366678237915,3199,218,3417,23,23,0,,14,,interleave_rank,False,3088,0,3088,3088,0,3088,23,0,0.6444802284240723
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,9,2,amem_robust_evolution,amem_simple_embedding,paper_binary,5,Did Andrew have a pet dog during March 2023?,No,No.,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",c65dad2b0cbe8e41620b454f0363e33e0a7aadf30118b170547286f57aa55ae7,2.1653645038604736,1.4096794128417969,3.5750439167022705,3574,63,3637,27,27,0,,14,,interleave_rank,False,3430,0,3430,3430,0,3430,27,0,0.5997143983840942
amem_global_linked_top14_openaiemb_last5,20260628_203818,conv-44,10,1,amem_robust_evolution,amem_simple_embedding,paper_binary,5,What kind of classes or groups has Audrey joined to take better care of her dogs?,"positive reinforcement training workshop to bond with pets, dog training course, agility training course, grooming course, dog-owners group","dog training course, agility classes, dog grooming course, workshop about bonding with my pet, dog owners group",0.0,0.5142857142857143,0.4991681349819926,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",52c68319c85bd3046dc6408f4c012b2d94b54b8b0d098b474b7e2addb304138c,3.668774127960205,7.868361234664917,11.537135362625122,3830,910,4740,27,27,0,,14,,interleave_rank,False,3727,0,3727,3727,0,3727,27,0,0.587568461894989
