method,run_id,sample_id,qa_index,category,memory_update_mode,memory_wrapper_store,judge_mode,judge_runs,question,ground_truth,predicted_answer,exact_match,f1,bleu1,judge_score,judge_reason,judge_scores,judge_labels,judge_cache_key,search_latency_sec,generation_latency_sec,total_latency_sec,prompt_tokens,completion_tokens,total_tokens,num_retrieved_memories,num_speaker_1_memories,num_speaker_2_memories,top_k_per_speaker,max_total_retrieved_memories,retrieval_token_budget,retrieval_budget_strategy,retrieval_token_budget_applied,speaker_1_memory_tokens,speaker_2_memory_tokens,retrieved_memory_tokens,speaker_1_memory_tokens_pre_trim,speaker_2_memory_tokens_pre_trim,retrieved_memory_tokens_pre_trim,num_retrieved_memories_pre_trim,num_retrieved_memories_dropped_by_budget,top1_memory_score
mem0_semantic_top7,20260626_224609,conv-26,1,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline go to the LGBTQ support group?,7 May 2023,2023-05-07,0.0,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",17a60e93c9deac24845ea50a932a181e27f945cd6552c484b5c167e18b9424b6,3.7099509239196777,1.920469045639038,5.630419969558716,1219,54,1273,14,7,7,7,14,,interleave_rank,False,407,315,722,407,315,722,14,0,0.7953328490257263
mem0_semantic_top7,20260626_224609,conv-26,2,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie paint a sunrise?,2022,2022,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",6fadb7ea1820018c02ca334c71254dea42dc2a67f0bec685fe377f9ebad523f9,1.064704418182373,2.821638345718384,3.886342763900757,1149,211,1360,14,7,7,7,14,,interleave_rank,False,346,312,658,346,312,658,14,0,0.5565081834793091
mem0_semantic_top7,20260626_224609,conv-26,3,3,paper_update_wrapper,json_local,paper_binary,5,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling and mental health.,0.0,0.28571428571428575,0.25,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",e1c582b28da6c3d36748602d9bf6ab999e03a199a7c3a865116a9f6abbd32027,0.28484463691711426,3.1521663665771484,3.4370110034942627,2129,123,2252,14,7,7,7,14,,interleave_rank,False,281,264,545,281,264,545,14,0,0.5565633177757263
mem0_semantic_top7,20260626_224609,conv-26,4,1,paper_update_wrapper,json_local,paper_binary,5,What did Caroline research?,Adoption agencies,Adoption agencies.,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",47c4b0e2454924bb87e6a1f0ec85616116ad7735d97d15759044dd2722182781,0.3915982246398926,3.4772531986236572,3.86885142326355,2177,105,2282,14,7,7,7,14,,interleave_rank,False,312,264,576,312,264,576,14,0,0.5102528929710388
mem0_semantic_top7,20260626_224609,conv-26,5,1,paper_update_wrapper,json_local,paper_binary,5,What is Caroline's identity?,Transgender woman,Transgender woman,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",e3e2eb386b74df253f3dc5980868866837dc608ccd31d11bef703df2c2637a8f,0.4728679656982422,1.5503003597259521,2.0231683254241943,1105,45,1150,14,7,7,7,14,,interleave_rank,False,348,264,612,348,264,612,14,0,0.6001287698745728
mem0_semantic_top7,20260626_224609,conv-26,6,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie run a charity race?,The sunday before 25 May 2023,"May 20, 2023.",0.0,0.5,0.3422780793550613,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",fcd7cb8844523afc78dbc894a325be872f1eace3d75e9e679a9429ecfb526552,0.436657190322876,1.266836166381836,1.703493356704712,1171,98,1269,14,7,7,7,14,,interleave_rank,False,345,331,676,345,331,676,14,0,0.504844069480896
mem0_semantic_top7,20260626_224609,conv-26,7,2,paper_update_wrapper,json_local,paper_binary,5,When is Melanie planning on going camping?,June 2023,June 2023,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",da45fe154e5b957d4b51a7a97dd21659f3cacb31a76754ebb6ee9282236bd5aa,0.3602125644683838,1.6260414123535156,1.9862539768218994,1230,111,1341,14,7,7,7,14,,interleave_rank,False,330,406,736,330,406,736,14,0,0.6338213086128235
mem0_semantic_top7,20260626_224609,conv-26,8,1,paper_update_wrapper,json_local,paper_binary,5,What is Caroline's relationship status?,Single,Single after breakup.,0.0,0.5,0.3333333333333333,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",8f559eb752486df6027272f2b22beac65a707a53e184792b8076bbe7d7d3d056,0.3902590274810791,5.177917003631592,5.568176031112671,2173,249,2422,14,7,7,7,14,,interleave_rank,False,307,264,571,307,264,571,14,0,0.6086917519569397
mem0_semantic_top7,20260626_224609,conv-26,9,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline give a speech at a school?,The week before 9 June 2023,Early June 2023,0.0,0.5,0.3422780793550613,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",8a84d4714c3f95921b6f08ee0f7823d4502208661f534f41bd9d3614f7fdb760,0.39525413513183594,3.9408774375915527,4.336131572723389,1173,150,1323,14,7,7,7,14,,interleave_rank,False,403,271,674,403,271,674,14,0,0.6950191259384155
mem0_semantic_top7,20260626_224609,conv-26,10,2,paper_update_wrapper,json_local,paper_binary,5,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,Early June 2023.,0.0,0.5,0.3422780793550613,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",17e7bb04c33c87fac569842b8e0a6f2ffd0ec454e05d32f668dd85346ebe3602,0.41402435302734375,1.5917844772338867,2.0058088302612305,1150,110,1260,14,7,7,7,14,,interleave_rank,False,330,319,649,330,319,649,14,0,0.8402463793754578
