method,run_id,sample_id,qa_index,category,memory_update_mode,memory_wrapper_store,judge_mode,judge_runs,question,ground_truth,predicted_answer,exact_match,f1,bleu1,judge_score,judge_reason,judge_scores,judge_labels,judge_cache_key,search_latency_sec,generation_latency_sec,total_latency_sec,prompt_tokens,completion_tokens,total_tokens,num_retrieved_memories,num_speaker_1_memories,num_speaker_2_memories,top_k_per_speaker,max_total_retrieved_memories,retrieval_token_budget,retrieval_budget_strategy,retrieval_token_budget_applied,speaker_1_memory_tokens,speaker_2_memory_tokens,retrieved_memory_tokens,speaker_1_memory_tokens_pre_trim,speaker_2_memory_tokens_pre_trim,retrieved_memory_tokens_pre_trim,num_retrieved_memories_pre_trim,num_retrieved_memories_dropped_by_budget,top1_memory_score,semantic_search_latency_sec,qase_bm25_latency_sec,qase_planner_latency_sec,qase_selector_latency_sec
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,1,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline go to the LGBTQ support group?,7 May 2023,"May 7, 2023",0.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",f40aad8493973342398adf9bc5a4dc81e8ba45afa4bbacab10b803b7e8acc9b3,3.612429616841837,1.8704633712768555,5.482892988118692,1439,89,1528,16,15,1,15,22,,interleave_rank,False,886,54,940,886,54,940,16,0,0.795412003993988,3.594449758529663,0.009921789169311523,0.0004158000083407387,0.007642269134521484
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,2,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie paint a sunrise?,2022,2022,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",6fadb7ea1820018c02ca334c71254dea42dc2a67f0bec685fe377f9ebad523f9,0.3964005292800721,2.531316041946411,2.927716571226483,1222,152,1374,16,3,13,15,22,,interleave_rank,False,163,565,728,163,565,728,16,0,0.5565081834793091,0.3784971237182617,0.013135433197021484,0.00043089999235235155,0.0043370723724365234
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,3,3,paper_update_wrapper,json_local,paper_binary,5,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling and mental health.,0.0,0.28571428571428575,0.25,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",e1c582b28da6c3d36748602d9bf6ab999e03a199a7c3a865116a9f6abbd32027,0.9073126620205585,2.1525111198425293,3.059823781863088,1295,114,1409,20,16,4,15,22,,interleave_rank,False,658,126,784,658,126,784,20,0,0.4040045738220215,0.8709168434143066,0.010454654693603516,0.0008518999966327101,0.025089263916015625
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,4,1,paper_update_wrapper,json_local,paper_binary,5,What did Caroline research?,Adoption agencies,Adoption agencies.,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",47c4b0e2454924bb87e6a1f0ec85616116ad7735d97d15759044dd2722182781,0.3995431818621,1.2307109832763672,1.6302541651384672,855,45,900,10,7,3,15,22,,interleave_rank,False,291,80,371,291,80,371,10,0,0.4781111180782318,0.39178991317749023,0.0068035125732421875,0.00032199999259319156,0.0006277561187744141
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,5,1,paper_update_wrapper,json_local,paper_binary,5,What is Caroline's identity?,Transgender woman,Transgender woman,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",e3e2eb386b74df253f3dc5980868866837dc608ccd31d11bef703df2c2637a8f,0.3309302646666765,2.5182321071624756,2.849162371829152,1973,115,2088,10,8,2,15,22,,interleave_rank,False,397,87,484,397,87,484,10,0,0.5323260426521301,0.3196375370025635,0.006075859069824219,0.00026110000908374786,0.004955768585205078
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,6,2,paper_update_wrapper,json_local,paper_binary,5,When did Melanie run a charity race?,The sunday before 25 May 2023,"May 20, 2023",0.0,0.5,0.3422780793550613,0.0,,"[0.0, 0.0, 0.0, 0.0, 0.0]","['WRONG', 'WRONG', 'WRONG', 'WRONG', 'WRONG']",8845bbdcc1f645c5d9b47ac7f5d62f008ee77372e71c6f329f93bee78006f9f3,0.45603529264917597,1.604421854019165,2.060457146668341,627,92,719,3,1,2,15,22,,interleave_rank,False,41,113,154,41,113,154,3,0,0.504844069480896,0.4406251907348633,0.012966632843017578,0.00022260000696405768,0.0022208690643310547
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,7,2,paper_update_wrapper,json_local,paper_binary,5,When is Melanie planning on going camping?,June 2023,June 2023,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",da45fe154e5b957d4b51a7a97dd21659f3cacb31a76754ebb6ee9282236bd5aa,0.2730143132794183,2.220271110534668,2.4932854238140862,653,155,808,3,0,3,15,22,,interleave_rank,False,0,181,181,0,181,181,3,0,0.7919960618019104,0.25734901428222656,0.011602163314819336,0.00024819999816827476,0.0038149356842041016
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,8,1,paper_update_wrapper,json_local,paper_binary,5,What is Caroline's relationship status?,Single,Single,1.0,1.0,1.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",689e1c4f475c69a50e645fa9d08f15c23617f5b1eb1ce8afe73fc95d0696c131,0.4291599498537835,1.5744593143463135,2.003619264200097,1381,64,1445,20,18,2,15,22,,interleave_rank,False,789,87,876,789,87,876,20,0,0.6086917519569397,0.39059996604919434,0.013561248779296875,0.000218700006371364,0.0247800350189209
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,9,2,paper_update_wrapper,json_local,paper_binary,5,When did Caroline give a speech at a school?,The week before 9 June 2023,Early June 2023,0.0,0.5,0.3422780793550613,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",8a84d4714c3f95921b6f08ee0f7823d4502208661f534f41bd9d3614f7fdb760,0.4637576280074427,1.5459556579589844,2.009713285966427,677,90,767,3,3,0,15,22,,interleave_rank,False,203,0,203,203,0,203,3,0,0.6950510740280151,0.4503202438354492,0.00987863540649414,0.00024330000451300293,0.003315448760986328
mem0_qase_clean_bm25_profile_v1,20260629_092418,conv-26,10,2,paper_update_wrapper,json_local,paper_binary,5,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,Early June 2023,0.0,0.5,0.3422780793550613,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']",858cfa2f784e6e5b6e743960fa51865cbfc562c086212ed746ced263bf41e435,0.40903734049061313,4.293874502182007,4.70291184267262,1327,334,1661,3,3,0,15,22,,interleave_rank,False,166,0,166,166,0,166,3,0,0.8402649760246277,0.39342689514160156,0.009891033172607422,0.00045059999683871865,0.00526881217956543
