id,split,sample_id,qa_index,speaker_a,speaker_b,question,text,locomo_category,question_type,target_speaker
conv-44_qa_1,train,conv-44,1,Audrey,Andrew,Which year did Audrey adopt the first three of her dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: Which year did Audrey adopt the first three of her dogs?",2,temporal,speaker_a
conv-44_qa_2,train,conv-44,2,Audrey,Andrew,When did Andrew start his new job as a financial analyst?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Andrew start his new job as a financial analyst?",2,temporal,speaker_b
conv-44_qa_3,train,conv-44,3,Audrey,Andrew,What kind of indoor activities has Andrew pursued with his girlfriend?,"Speaker A: Audrey
Speaker B: Andrew
Question: What kind of indoor activities has Andrew pursued with his girlfriend?",1,single_hop,speaker_b
conv-44_qa_4,train,conv-44,4,Audrey,Andrew,What kind of places have Andrew and his girlfriend checked out around the city?,"Speaker A: Audrey
Speaker B: Andrew
Question: What kind of places have Andrew and his girlfriend checked out around the city?",1,single_hop,speaker_b
conv-44_qa_5,train,conv-44,5,Audrey,Andrew,When did Audrey make muffins for herself?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Audrey make muffins for herself?",2,temporal,speaker_a
conv-44_qa_6,train,conv-44,6,Audrey,Andrew,When did Audrey see a hummingbird?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Audrey see a hummingbird?",2,temporal,speaker_a
conv-44_qa_7,train,conv-44,7,Audrey,Andrew,When did Audrey adopt Pixie?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Audrey adopt Pixie?",2,temporal,speaker_a
conv-44_qa_8,train,conv-44,8,Audrey,Andrew,How many years passed between Audrey adopting Pixie and her other three dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: How many years passed between Audrey adopting Pixie and her other three dogs?",2,temporal,speaker_a
conv-44_qa_9,train,conv-44,9,Audrey,Andrew,Did Andrew have a pet dog during March 2023?,"Speaker A: Audrey
Speaker B: Andrew
Question: Did Andrew have a pet dog during March 2023?",2,temporal,speaker_b
conv-44_qa_10,train,conv-44,10,Audrey,Andrew,What kind of classes or groups has Audrey joined to take better care of her dogs?,"Speaker A: Audrey
Speaker B: Andrew
Question: What kind of classes or groups has Audrey joined to take better care of her dogs?",1,single_hop,speaker_a
conv-44_qa_11,train,conv-44,11,Audrey,Andrew,When did Audrey's positive reinforcement training course for dogs take place?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Audrey's positive reinforcement training course for dogs take place?",2,temporal,speaker_a
conv-44_qa_12,train,conv-44,12,Audrey,Andrew,When did Andrew go rock climbing?,"Speaker A: Audrey
Speaker B: Andrew
Question: When did Andrew go rock climbing?",2,temporal,speaker_b
